,Cargo Metric TONS
0,192.460284393705
1,342.827471893705
2,88.663409393705
3,284.999346893705
4,277.741534393705
5,156.389971893705
6,540.038409393705
7,-54.453778106295005
8,351.139971893705
9,311.046221893705
10,65.593096893705
11,101.343096893705
12,32.327471893704995
13,563.311846893705
14,-32.985028106295005
15,261.132159393705
16,131.296221893705
17,289.936846893705
18,239.983721893705
19,231.694659393705
20,529.600909393705
21,114.210284393705
22,504.733721893705
23,-10.930340606295005
24,393.132159393705
25,68.882159393705
26,639.554034393705
27,294.577471893705
28,272.208331268705
29,258.257159393705
30,217.960284393705
31,234.944659393705
32,26.514971893704995
33,193.124346893705
34,342.296221893705
35,260.186846893705
36,618.944659393705
37,272.804034393705
38,335.929034393705
39,583.116534393705
40,252.475909393705
41,274.202471893705
42,550.764971893705
43,276.186846893705
44,144.304034393705
45,223.241534393705
46,-32.172528106295005
47,147.944659393705
48,267.489581268705
49,-3.6725281062950046
50,145.796221893705
51,221.546221893705
52,583.264971893705
53,97.671221893705
54,330.077471893705
55,102.686846893705
56,64.054034393705
57,283.514971893705
58,514.833331268705
59,379.725909393705
60,287.913409393705
61,457.600909393705
62,578.163409393705
63,296.421221893705
64,634.468096893705
65,231.804034393705
66,-80.000653106295
67,372.061846893705
68,0.4134093937049954
69,-67.797528106295
70,569.733721893705
71,266.358721893705
72,376.827471893705
73,319.171221893705
74,204.600909393705
75,316.796221893705
76,122.288409393705
77,29.327471893704995
78,21.436846893704995
79,273.139971893705
80,266.202471893705
81,304.264971893705
82,107.389971893705
83,211.499346893705
84,290.671221893705
85,3.0696593937049954
86,298.007159393705
87,279.780596893705
88,572.483721893705
89,86.624346893705
90,122.374346893705
91,181.616534393705
92,247.975909393705
93,177.522784393705
94,316.632159393705
95,20.358721893704995
96,355.108721893705
97,292.577471893705
98,541.608721893705
99,278.264971893705
100,63.061846893704995
101,94.208331268705
102,386.639971893705
103,185.186846893705
104,314.163409393705
105,199.171221893705
106,545.733721893705
107,66.114581268705
108,5.561846893704995
109,301.132159393705
110,-38.953778106295005
111,267.538409393705
112,361.936846893705
113,192.639971893705
114,39.241534393704995
115,521.468096893705
116,281.014971893705
117,70.975909393705
118,48.483721893704995
119,258.796221893705
120,154.389971893705
121,3.0071593937049954
122,317.647784393705
123,93.725909393705
124,219.708331268705
125,20.147784393704995
126,129.327471893705
127,111.452471893705
128,-95.063153106295
129,232.850909393705
130,135.866534393705
131,-95.055340606295
132,275.077471893705
133,535.022784393705
134,-102.110028106295
135,21.921221893704995
136,218.421221893705
137,7.819659393704995
138,343.444659393705
139,54.069659393704995
140,141.171221893705
141,494.022784393705
142,431.311846893705
143,86.913409393705
144,94.677081268705
145,-48.110028106295005
146,149.913409393705
147,493.895831268705
148,216.583331268705
149,41.296221893704995
150,260.364581268705
151,347.593096893705
152,187.311846893705
153,72.452471893705
154,290.671221893705
155,182.429034393705
156,326.913409393705
157,534.858721893705
158,278.264971893705
159,8.264971893704995
160,87.421221893705
161,251.632159393705
162,15.577471893704995
163,19.069659393704995
164,277.686846893705
165,46.788409393704995
166,-60.110028106295005
167,300.077471893705
168,122.436846893705
169,135.897784393705
170,145.905596893705
171,295.983721893705
172,339.296221893705
173,565.718096893705
174,277.427081268705
175,256.108721893705
176,119.069659393705
177,353.858721893705
178,463.677081268705
179,564.835284393705
180,104.686846893705
181,133.507159393705
182,39.327471893704995
183,349.546221893705
184,282.280596893705
185,294.022784393705
186,247.389971893705
187,140.913409393705
188,143.288409393705
189,392.311846893705
190,306.249346893705
191,311.038409393705
192,313.296221893705
193,267.530596893705
194,348.014971893705
195,-129.422528106295
196,262.561846893705
197,394.833331268705
